stop_id,stop_name,stop_lat,stop_lon,stop_code,wheelchair_boarding
141,SE EVERETT MALL WAY & 10TH AVE SE - WB,47.910355,-122.220833,6095,2
142,SE EVERETT MALL WAY & 7TH AVE SE - WB,47.909477,-122.224091,6080,2
143,SE EVERETT MALL WAY & 3RD AVE SE - WB,47.908173,-122.229050,6230,2
144,SE EVERETT MALL WAY & 1ST DR - WB,47.907383,-122.232086,6235,2
145,SW EVERETT MALL WAY & 1ST PL W - WB,47.906582,-122.235001,6240,2
146,SW EVERETT MALL WAY & 4TH AVE W - WB,47.905804,-122.237938,6244,2
147,EVERGREEN WAY & SW EVERETT MALL WAY - NB,47.904903,-122.243767,6265,2
148,EVERGREEN WAY & 100TH ST SW - NB,47.906986,-122.241806,6270,2
149,EVERGREEN WAY & 4TH AVE W - NB,47.909409,-122.239571,6277,2
15,BEVERLY LN & PECKS - NB,47.941196,-122.228500,3505,2
